2021-08-18 17:00:39,652; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:39,653; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 120
2021-08-18 17:00:39,762; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 17:00:44,268; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:44,269; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 118
2021-08-18 17:00:44,381; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E+00
2021-08-18 17:00:48,926; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:48,927; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 116
2021-08-18 17:00:49,036; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 17:00:53,568; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:53,570; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 114
2021-08-18 17:00:53,672; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 5.34E-02
2021-08-18 17:00:58,231; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:00:58,232; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 112
2021-08-18 17:00:58,328; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-04
2021-08-18 17:01:02,765; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:02,766; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 110
2021-08-18 17:01:02,866; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-03
2021-08-18 17:01:07,292; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:07,294; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 108
2021-08-18 17:01:07,403; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 17:01:11,731; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:11,731; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 106
2021-08-18 17:01:11,835; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 17:01:16,200; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:16,201; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 104
2021-08-18 17:01:16,303; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 5.34E-01
2021-08-18 17:01:20,583; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:20,584; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 103
2021-08-18 17:01:20,693; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 17:01:25,029; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:25,030; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 101
2021-08-18 17:01:25,134; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 5.34E-01
2021-08-18 17:01:29,787; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:29,788; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 100
2021-08-18 17:01:29,907; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 17:01:34,953; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:34,954; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 98
2021-08-18 17:01:35,117; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 17:01:39,967; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:39,968; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 96
2021-08-18 17:01:40,088; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 17:01:45,503; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:45,504; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 95
2021-08-18 17:01:45,644; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.00E+00
2021-08-18 17:01:50,386; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:50,386; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 94
2021-08-18 17:01:50,503; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 17:01:56,462; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:01:56,463; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 92
2021-08-18 17:01:56,577; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E+00
2021-08-18 17:02:01,163; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:01,163; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 91
2021-08-18 17:02:01,281; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E+00
2021-08-18 17:02:06,045; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:06,046; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 90
2021-08-18 17:02:06,155; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E-03
2021-08-18 17:02:10,787; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:10,787; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 88
2021-08-18 17:02:10,907; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E+00
2021-08-18 17:02:15,367; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:15,368; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 87
2021-08-18 17:02:15,487; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E-01
2021-08-18 17:02:20,096; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:20,096; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 86
2021-08-18 17:02:20,203; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 3.51E-01
2021-08-18 17:02:24,764; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:24,765; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 85
2021-08-18 17:02:24,883; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
